Community,Type,2007,2008,2009,2010,2011,2012,2013,2014
Belize City,Urban,1.28,0.69,2.68,5.13,3.92,6.53,11.69,17.87
"San Pedro Town, Amberg. Caye",Urban,0.02,0,0.32,0.18,0.18,0.22,1.22,0.64
Caye Caulker,Urban,0.07,0,0.09,0.04,0.02,0.11,0.2,0.14
Ladyville,Rural,0.06,0.04,0.64,0.43,0.36,0.45,0.72,0.88
Hattieville,Rural,0.01,0.02,0.08,0.12,0.09,0.13,0.17,0.21
Burrel Boom,Rural,0.02,0,0.07,0.07,0.11,0.09,0.4,0.32
Lords Bank,Rural,,,0.03,0.11,0.07,0.15,0.16,0.23
Mahogany Heights,Rural,,,,,0.01,0.01,0.01,0.03
Sand Hill,Rural,0.01,0.01,0.09,0.1,0.04,0.13,0.26,0.21
Bermudan Landing,Rural,,,,0.01,0.01,0.01,0.04,0
Biscayne,Rural,0.02,0,0.02,0.04,0.02,0.06,0.14,0.07
Boston,Rural,,,,0.01,0.02,0.01,0.01,0.02
Unknown,,0.04,0.02,0.01,,0.3,0.01,0.01,
Unknown - Belize,,,,0.02,,,0.01,0.03,0.02
